timestamp,Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date
2020-06-27 00:04:00,12:04 AM,68.3 F,67.7 F,98 %,South,0.5 mph,0.7 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:09:00,12:09 AM,68.2 F,67.6 F,98 %,South,0.3 mph,0.6 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:14:00,12:14 AM,68.1 F,67.5 F,98 %,SSW,1.0 mph,1.5 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:19:00,12:19 AM,68.0 F,67.5 F,98 %,SSW,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:24:00,12:24 AM,68.1 F,67.5 F,98 %,South,0.3 mph,0.5 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:29:00,12:29 AM,68.2 F,67.6 F,98 %,SSW,0.2 mph,0.4 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:34:00,12:34 AM,68.2 F,67.6 F,98 %,South,0.4 mph,0.8 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:39:00,12:39 AM,68.3 F,67.6 F,97 %,SSW,0.5 mph,0.9 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:44:00,12:44 AM,68.4 F,67.6 F,97 %,South,0.5 mph,0.8 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:49:00,12:49 AM,68.4 F,67.6 F,97 %,South,0.6 mph,1.0 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:54:00,12:54 AM,68.4 F,67.6 F,97 %,South,0.6 mph,1.2 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 00:59:00,12:59 AM,68.4 F,67.6 F,97 %,SSW,0.4 mph,0.6 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:04:00,1:04 AM,68.4 F,67.6 F,97 %,SW,0.0 mph,0.1 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:09:00,1:09 AM,68.3 F,67.5 F,97 %,SSW,2.1 mph,2.8 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:14:00,1:14 AM,68.4 F,67.3 F,96 %,SSW,0.2 mph,0.3 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:19:00,1:19 AM,68.3 F,67.3 F,96 %,SSW,0.4 mph,0.6 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:24:00,1:24 AM,68.2 F,67.2 F,96 %,SSW,0.2 mph,0.2 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:29:00,1:29 AM,68.2 F,67.1 F,96 %,SSW,0.9 mph,1.4 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:34:00,1:34 AM,68.2 F,67.1 F,96 %,SSW,0.4 mph,0.6 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:39:00,1:39 AM,68.2 F,67.1 F,96 %,SSW,0.7 mph,1.0 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:44:00,1:44 AM,68.2 F,67.1 F,96 %,South,0.7 mph,1.0 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:49:00,1:49 AM,68.2 F,67.1 F,96 %,SSW,0.3 mph,0.8 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:54:00,1:54 AM,68.2 F,67.2 F,96 %,SSW,0.5 mph,0.9 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 01:59:00,1:59 AM,68.4 F,67.3 F,96 %,SSW,0.9 mph,1.6 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:04:00,2:04 AM,68.5 F,67.5 F,96 %,SSW,1.7 mph,2.4 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:09:00,2:09 AM,68.7 F,67.6 F,96 %,SSW,2.2 mph,3.1 mph,29.91 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:14:00,2:14 AM,68.7 F,67.6 F,96 %,SSW,1.9 mph,2.8 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:19:00,2:19 AM,68.7 F,67.6 F,96 %,SSW,1.2 mph,1.8 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:24:00,2:24 AM,68.8 F,67.7 F,96 %,South,0.5 mph,0.7 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:29:00,2:29 AM,68.7 F,67.7 F,96 %,SSW,1.3 mph,2.1 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:34:00,2:34 AM,68.8 F,68.0 F,97 %,South,0.4 mph,0.7 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:39:00,2:39 AM,68.6 F,67.9 F,97 %,South,0.1 mph,0.3 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:44:00,2:44 AM,68.5 F,67.8 F,97 %,South,0.0 mph,0.1 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:49:00,2:49 AM,68.5 F,67.8 F,97 %,South,0.7 mph,1.0 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:54:00,2:54 AM,68.6 F,67.9 F,97 %,South,0.5 mph,0.9 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 02:59:00,2:59 AM,68.7 F,68.0 F,97 %,South,0.7 mph,1.1 mph,29.91 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:04:00,3:04 AM,68.7 F,68.0 F,97 %,South,0.3 mph,0.6 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:09:00,3:09 AM,68.9 F,68.2 F,97 %,South,0.3 mph,0.6 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:14:00,3:14 AM,68.9 F,68.2 F,97 %,South,0.2 mph,0.5 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:19:00,3:19 AM,68.9 F,68.2 F,97 %,South,0.1 mph,0.3 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:24:00,3:24 AM,68.9 F,68.2 F,97 %,SSW,0.2 mph,0.3 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:29:00,3:29 AM,68.9 F,68.2 F,97 %,South,0.4 mph,0.7 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:34:00,3:34 AM,68.9 F,68.2 F,97 %,South,0.4 mph,0.6 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:39:00,3:39 AM,68.9 F,68.2 F,97 %,South,0.1 mph,0.2 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:44:00,3:44 AM,68.9 F,68.2 F,97 %,South,0.8 mph,1.4 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:49:00,3:49 AM,68.9 F,68.2 F,97 %,South,0.2 mph,0.4 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:54:00,3:54 AM,68.9 F,68.2 F,97 %,South,0.2 mph,0.4 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 03:59:00,3:59 AM,69.1 F,68.4 F,97 %,SSW,0.4 mph,0.6 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:04:00,4:04 AM,69.1 F,68.4 F,97 %,SSW,0.5 mph,0.9 mph,29.90 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:09:00,4:09 AM,69.1 F,68.4 F,97 %,SSW,0.3 mph,0.3 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:14:00,4:14 AM,69.1 F,68.4 F,97 %,SSW,0.6 mph,0.9 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:19:00,4:19 AM,69.1 F,68.4 F,97 %,SE,0.9 mph,1.2 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:24:00,4:24 AM,69.1 F,68.4 F,97 %,SSW,0.5 mph,0.8 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:29:00,4:29 AM,69.1 F,68.4 F,97 %,SW,0.5 mph,0.7 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:34:00,4:34 AM,69.1 F,68.4 F,97 %,SSW,0.2 mph,0.5 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:39:00,4:39 AM,69.1 F,68.4 F,97 %,SSW,0.0 mph,0.0 mph,29.88 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:44:00,4:44 AM,69.1 F,68.4 F,97 %,SSW,0.1 mph,0.3 mph,29.88 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:49:00,4:49 AM,69.1 F,68.4 F,97 %,SSW,0.4 mph,0.6 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:54:00,4:54 AM,68.9 F,68.2 F,97 %,WSW,0.5 mph,0.6 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 04:59:00,4:59 AM,68.9 F,68.3 F,98 %,SSW,0.2 mph,0.3 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 05:04:00,5:04 AM,68.7 F,68.2 F,98 %,SSW,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 05:09:00,5:09 AM,68.6 F,68.1 F,98 %,SSW,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
2020-06-27 05:14:00,5:14 AM,68.5 F,67.9 F,98 %,SSW,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0.0,0 w/m²,2020-06-27
